iter	Passed	Remaining
0	4	1817
1	8	1678
2	12	1647
3	16	1597
4	20	1592
5	24	1585
6	27	1571
7	31	1567
8	35	1555
9	39	1554
10	43	1549
11	47	1544
12	51	1537
13	55	1532
14	59	1528
15	63	1517
16	67	1511
17	70	1500
18	74	1491
19	78	1483
20	81	1475
21	85	1462
22	88	1451
23	92	1442
24	95	1436
25	99	1426
26	102	1416
27	105	1407
28	109	1399
29	112	1392
30	116	1385
31	119	1376
32	123	1370
33	126	1362
34	129	1354
35	133	1348
36	136	1342
37	140	1336
38	143	1329
39	146	1322
40	150	1316
41	153	1311
42	157	1306
43	160	1300
44	164	1294
45	167	1291
46	171	1287
47	174	1282
48	178	1277
49	181	1272
50	185	1267
51	188	1262
52	192	1257
53	195	1252
54	198	1247
55	202	1242
56	205	1237
57	209	1233
58	212	1229
59	216	1224
60	219	1219
61	222	1215
62	226	1210
63	229	1206
64	233	1202
65	236	1197
66	240	1193
67	243	1188
68	246	1184
69	250	1180
70	253	1175
71	257	1171
72	260	1167
73	263	1162
74	267	1158
75	270	1153
76	273	1149
77	277	1144
78	280	1140
79	284	1136
80	287	1132
81	291	1128
82	294	1124
83	297	1120
84	301	1116
85	304	1113
86	308	1108
87	311	1103
88	314	1099
89	318	1095
90	321	1092
91	324	1087
92	328	1084
93	331	1080
94	335	1076
95	338	1072
96	342	1069
97	345	1065
98	349	1061
99	352	1057
100	356	1053
101	359	1050
102	362	1046
103	366	1043
104	370	1040
105	374	1039
106	378	1036
107	383	1035
108	387	1033
109	390	1029
110	394	1026
111	397	1022
112	401	1019
113	404	1014
114	408	1011
115	411	1007
116	414	1003
117	418	999
118	421	995
119	424	991
120	428	987
121	431	983
122	435	980
123	438	976
124	442	972
125	445	968
126	448	964
127	452	960
128	455	957
129	459	953
130	462	949
131	465	945
132	469	942
133	472	938
134	476	935
135	479	931
136	483	927
137	486	923
138	489	919
139	493	916
140	496	912
141	499	908
142	503	904
143	506	901
144	510	897
145	513	893
146	517	890
147	520	886
148	524	883
149	527	879
150	531	875
151	534	872
152	537	868
153	541	864
154	544	861
155	548	857
156	551	853
157	554	849
158	558	846
159	561	842
160	565	839
161	568	835
162	571	831
163	575	827
164	578	824
165	581	820
166	585	817
167	588	813
168	592	809
169	595	805
170	599	802
171	602	798
172	605	794
173	609	791
174	612	787
175	615	783
176	619	780
177	622	776
178	626	773
179	629	769
180	633	766
181	636	762
182	640	759
183	643	755
184	646	751
185	650	748
186	653	744
187	657	740
188	660	737
189	663	733
190	667	730
191	671	727
192	674	723
193	678	720
194	681	716
195	685	713
196	688	709
197	691	705
198	695	702
199	698	698
200	702	695
201	705	691
202	709	688
203	712	684
204	716	681
205	719	677
206	723	674
207	726	670
208	729	667
209	733	663
210	736	659
211	740	656
212	743	652
213	746	649
214	750	645
215	753	642
216	757	638
217	760	635
218	764	631
219	767	627
220	770	624
221	774	620
222	777	617
223	781	613
224	784	610
225	787	606
226	791	602
227	794	599
228	797	595
229	801	592
230	804	588
231	808	585
232	811	581
233	814	578
234	818	574
235	821	570
236	825	567
237	828	563
238	832	560
239	835	557
240	838	553
241	842	550
242	845	546
243	849	542
244	852	539
245	855	535
246	859	532
247	862	528
248	865	525
249	869	521
250	872	518
251	876	514
252	879	511
253	883	507
254	886	504
255	890	500
256	893	497
257	897	493
258	901	490
259	904	487
260	908	483
261	912	480
262	915	476
263	918	473
264	922	469
265	925	466
266	929	463
267	932	459
268	936	455
269	939	452
270	943	448
271	946	445
272	950	441
273	953	438
274	956	434
275	960	431
276	964	428
277	967	424
278	970	421
279	974	417
280	977	414
281	981	410
282	984	407
283	988	403
284	991	400
285	995	396
286	998	393
287	1002	389
288	1005	386
289	1008	382
290	1012	379
291	1015	375
292	1019	372
293	1022	368
294	1025	365
295	1029	361
296	1032	358
297	1036	354
298	1039	351
299	1043	347
300	1046	344
301	1050	340
302	1053	337
303	1056	333
304	1060	330
305	1063	326
306	1066	323
307	1070	319
308	1073	316
309	1077	312
310	1080	309
311	1084	305
312	1087	302
313	1090	298
314	1094	295
315	1097	291
316	1101	288
317	1104	284
318	1108	281
319	1111	277
320	1115	274
321	1118	271
322	1122	267
323	1126	264
324	1129	260
325	1132	257
326	1136	253
327	1139	250
328	1143	246
329	1146	243
330	1149	239
331	1153	236
332	1156	232
333	1160	229
334	1163	225
335	1166	222
336	1170	218
337	1173	215
338	1177	211
339	1180	208
340	1183	204
341	1187	201
342	1190	197
343	1194	194
344	1197	190
345	1201	187
346	1204	183
347	1207	180
348	1211	177
349	1214	173
350	1218	170
351	1221	166
352	1225	163
353	1228	159
354	1232	156
355	1235	152
356	1238	149
357	1241	145
358	1245	142
359	1248	138
360	1252	135
361	1255	131
362	1259	128
363	1262	124
364	1265	121
365	1269	117
366	1272	114
367	1276	110
368	1279	107
369	1283	104
370	1286	100
371	1289	97
372	1293	93
373	1296	90
374	1300	86
375	1303	83
376	1307	79
377	1310	76
378	1313	72
379	1317	69
380	1320	65
381	1324	62
382	1328	58
383	1331	55
384	1334	52
385	1338	48
386	1341	45
387	1345	41
388	1348	38
389	1352	34
390	1355	31
391	1359	27
392	1362	24
393	1365	20
394	1369	17
395	1372	13
396	1376	10
397	1379	6
398	1383	3
399	1386	0
